File Path,Song ID,Title,Artist,Release,Genre,Song Hotttnesss,Duration,Tempo,Key,Mode,Loudness,Danceability,Energy,Year
MillionSongSubset/B/F/U/TRBFUXQ128F145B135.h5,SOBUDOC12A6D4F8AC2,After All The Love Is Gone,Alias,Alias,Unknown,0.38293509007501925,256.67873,120.093,0,1,-10.223,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFURI128F1455498.h5,SOLMCFH12A58A7FACE,Under The Weather,KT Tunstall,Eye To The Telescope,Unknown,0.6944535460616664,216.5024,142.121,7,1,-9.911,0.0,0.0,2004
MillionSongSubset/B/F/U/TRBFUDB128F429C1B8.h5,SOOUBMT12A8C13DB6D,90er,Headliners,Das Album zum Film,Unknown,,347.79383,170.041,8,1,-4.281,0.0,0.0,2006
MillionSongSubset/B/F/U/TRBFUPH128F426310A.h5,SOWDXXY12A8C133818,Free (lp),Big Audio Dynamite,Planet Bad Greatest Hits,Unknown,0.46054128135865785,209.97179,122.077,2,1,-12.019,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFUSW128F92D0357.h5,SOUXUOP12A8C14318F,Say Goodbye,Barry Manilow,Here At The Mayflower,Unknown,0.23962909777363708,247.24853,120.08,4,0,-7.518,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFUPZ128F145DB81.h5,SOHVKVP12A6D4F827A,Más Y Más,Mazz,15 Exitos,Unknown,,251.61098,106.847,0,1,-13.327,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFULU128F1486D18.h5,SOBMAUD12A6D4F9181,Itinerario,Clementina De Jesus,Nova Bis-Clementina de Jesus,Unknown,,181.39383,212.401,4,0,-9.735,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFUMI128F42B5731.h5,SOUZIIN12AB017FB85,Stephanie Says,The Velvet Underground,The Velvet Underground Story 2CD Set,Unknown,0.7828689986809066,170.89261,112.48,0,1,-15.591,0.0,0.0,1985
MillionSongSubset/B/F/U/TRBFUUY128F426D21B.h5,SOXJPKH12A8C134149,Jahuu_ Gandiva laulaa!,Sabda Brahma,Dham Rockas,Unknown,,349.51791,119.987,10,0,-9.651,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFUTW128F93112E3.h5,SOIWHMK12AB017D7E0,Fleur De Paris,Jean Marc Thibault,Chantez,Unknown,,138.94485,136.577,0,1,-14.406,0.0,0.0,0
MillionSongSubset/B/F/U/TRBFUNY128C7196B7D.h5,SOZGCTW12A6310E84F,Music And Politics,The Disposable Heroes Of Hiphoprisy,Hypocrisy Is The Greatest Luxury,Unknown,0.5089846081034836,241.52771,108.616,2,1,-18.454,0.0,0.0,1992
MillionSongSubset/B/F/W/TRBFWXD128E0780DBB.h5,SOPJOQM12A6310F137,Every You Every Me (Infected By The Scourge Of The Earth),Placebo,Every You Every Me,Unknown,,237.94893,136.957,10,1,-6.519,0.0,0.0,1999
MillionSongSubset/B/F/W/TRBFWWA128F425BD1E.h5,SOBIPFA12A8C136C56,Indo,Studio,West Coast,Unknown,0.6434705772425585,568.99873,100.648,7,1,-18.786,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWTU128F4220AC5.h5,SOYJVCQ12A81C22C90,Credits,Pete Miser,What It Be...,Unknown,,32.96608,95.761,2,1,-8.236,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWZM128F4223E44.h5,SOOAIOT12A6D4FE412,Youll Rue The Day,Spade Cooley,King Of Western Swing_ Vol. 4,Unknown,,181.31546,102.846,9,1,-26.646,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWCC128F93017D3.h5,SOCMIGC12A6702090E,Celluloid Heroes,Bon Jovi / Ray Davies,Misunderstood,Unknown,,336.84853,130.281,6,1,-5.158,0.0,0.0,2002
MillionSongSubset/B/F/W/TRBFWSU12903CC36BE.h5,SOLCUUN12AB0187AE7,Wives ( LP Version ),Bill Cosby,Revenge,Unknown,0.0,157.43955,109.516,5,1,-13.915,0.0,0.0,1967
MillionSongSubset/B/F/W/TRBFWSP128F92F29B4.h5,SOTOSFD12AB017A7E1,Bed Of Roses,Warrant,Cherry Pie,Unknown,0.6021943107797928,244.08771,123.245,7,1,-6.228,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWWX128F933936C.h5,SOWBMKR12AB0189094,Losing track,You Should Go Ahead,Emotional cocktail,Unknown,,234.78812,143.513,9,1,-3.137,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWYX128F145F889.h5,SOIFTHQ12AF72A4829,Fly Talkin',Lil Wayne,500 Degreez,Unknown,0.5726023283923434,98.16771,123.881,1,1,-3.887,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWGM128F4243B40.h5,SOCCQJD12A58A7D627,Jole Brun,Harry Choates,Fiddle King Of Cajun Swing,Unknown,,138.1873,152.709,6,1,-16.188,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWVA128F42265AD.h5,SOSKAIS12A81C237B8,Bonita,Barbara Lusch,Barbara Lusch,Unknown,0.19421424618213098,263.81016,121.379,2,1,-14.048,0.0,0.0,0
MillionSongSubset/B/F/W/TRBFWFX128E079531B.h5,SOZYPNV12A6701E3B8,First Day (Album version),Timo Maas,Pictures,Unknown,0.48828987603734525,232.38485,124.995,11,0,-5.797,0.0,0.0,2005
MillionSongSubset/B/F/S/TRBFSEX128F9300418.h5,SOHEUFA12AB017F9A0,Teska (Teska),Greek Gypsy Musicians,Music of the Greek Gypsies,Unknown,0.0,214.72608,158.419,5,0,-11.277,0.0,0.0,0
MillionSongSubset/B/F/S/TRBFSPK128F92F3A22.h5,SORCBKI12AAF3B2DF2,Why,Kol Simcha,Voice Of Joy,Unknown,0.3619211010027582,548.38812,156.27,0,0,-24.568,0.0,0.0,0
MillionSongSubset/B/F/S/TRBFSPZ12903CB5230.h5,SOJIUVL12AB01867D9,All The Way,Joey McIntyre,Talk To Me,Unknown,0.5508908402040344,173.322,202.693,5,1,-19.928,0.0,0.0,0
MillionSongSubset/B/F/S/TRBFSPA128F9340CDC.h5,SORDRKC12AB0189339,Infant Dreams,Bill Douglas,Jewel Lake,Unknown,0.2707759989463275,147.17342,108.948,5,1,-33.364,0.0,0.0,0
MillionSongSubset/B/F/S/TRBFSAI128F92F4AC0.h5,SOAQKKK12A58A7859A,East Bay Bounce,Paul Taylor,Nightlife,Unknown,0.6406840303493887,249.83465,100.058,5,1,-4.73,0.0,0.0,0
MillionSongSubset/B/F/S/TRBFSKB128F145C5B1.h5,SOJLTFB12A6D4F91FC,Forever,VHS Or Beta,Night On Fire,Unknown,0.5275553561232935,343.562,123.847,8,0,-5.82,0.0,0.0,2004
MillionSongSubset/B/F/S/TRBFSNP128F14572B5.h5,SOKBKCA12A6D4F7539,One Night Alone,Vixen,Vixen,Unknown,0.682218135227129,229.642,129.846,0,1,-12.818,0.0,0.0,1988
MillionSongSubset/B/F/K/TRBFKNM128F425E89C.h5,SOFQRCP12A8C13675B,Why Don't You Do Right (Album Version),Jim Kweskin with Samoa Wilson,Now And Again,Unknown,,265.01179,110.837,9,1,-12.437,0.0,0.0,0
MillionSongSubset/B/F/K/TRBFKAT12903CA42E2.h5,SOFHCUH12AB0183CA2,Free,Darwin Hobbs,WOW Gospel 2010,Unknown,0.4944895175021134,311.95383,140.085,1,1,-7.487,0.0,0.0,0
MillionSongSubset/B/F/K/TRBFKOK128F42662E6.h5,SOPJFDO12A8C139B94,Red Gun,The Forms,The Forms,Unknown,0.4408264404988793,145.08363,108.888,3,0,-9.098,0.0,0.0,2007
MillionSongSubset/B/F/K/TRBFKNY128F92E0FF2.h5,SOXZLHE12AAF3B5227,It Ain't No Use,Jimmy McCracklin,Blues Blastin': The Modern Recordings Vol 2,Unknown,0.0,201.97832,104.358,0,1,-10.015,0.0,0.0,0
MillionSongSubset/B/F/K/TRBFKHT128F427215E.h5,SOIJCNT12A8C133677,I Want You,Sophie B. Hawkins,The Best Of Sophie B. Hawkins,Unknown,,316.76036,98.406,11,1,-11.76,0.0,0.0,1992
MillionSongSubset/B/F/K/TRBFKVH128F4262579.h5,SOCXBQG12AF72A7CBD,Arco Arena,Cake,Comfort Eagle,Unknown,0.7644195693309949,91.32363,157.992,9,0,-9.558,0.0,0.0,2001
MillionSongSubset/B/F/K/TRBFKMN128F4286D1B.h5,SOWMVSQ12A8C13E1DC,Malice,Behemoth,Thelema 6,Unknown,0.55844174692148,146.46812,126.154,2,1,-5.497,0.0,0.0,2000
MillionSongSubset/B/F/K/TRBFKSL128F934AF61.h5,SOHQDNH12AB01823A5,Tuck That Sh*t,Messy Marv,Prices On My Head: Thug Money On Yo Family_ Vol. 2,Unknown,,163.10812,63.198,4,0,-5.347,0.0,0.0,0
MillionSongSubset/B/F/K/TRBFKON128F4296A52.h5,SOMPKZM12A8C13F8B4,Ride Out Dip,Crucial Conflict,Planet CruCon,Unknown,0.5187598979970994,230.5824,147.99,6,0,-5.79,0.0,0.0,2008
